Comuna,Dose,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
Cauquenes,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,702,1373,2060,2228,2269,2760,3302,3931,4529,5086,5227,5227,5961,6549,6938,7152,7359,7360,7360,7655,7926,8131,8340,8516,8516,8516,8814,9331,9712,10236,10236,10236,10236,10784,11180,11509,11851,12289,12344,12344,12873,13375,13674,14046,14369,14369,14369,14702,14950,15230,15551,15853,15853,15853,16168,16424,16635,16826,17008,17008,17008,17095,17258,17406,17546,17756,17777,17777,17852,17966,18071,18141,18198,18198,18198,18273,18339,18431,18574,18574,18574,18574,18679,18754,18835,18877,18962,18964,18964,19046,19180,19321,19480,19704,19704,19705,19936,20128,20320
Cerrillos,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,696,1065,1633,1804,1804,2656,3873,5320,6311,7095,7095,7095,8098,8827,9525,10176,10619,10629,10629,11010,11519,11877,12232,12359,12375,12375,12798,13545,14295,14958,15585,15624,15624,16090,16491,16916,17560,18099,18371,18371,18958,19742,20561,21274,21860,22031,22031,22592,23299,24095,25091,25743,25838,25838,26388,27012,27566,28131,28131,28131,28131,28311,28689,29038,29400,29796,29920,29920,30330,30659,30991,31296,31543,31643,31643,31859,31971,32041,32218,32365,32395,32395,32572,32696,32832,32919,33188,33188,33188,33457,33731,34024,34277,34508,34693,34693,35118,35490,35837,36124,36452,36452,36452,36986,37492,37871,38283,38283,38597,38597,39128,39751,40362,40990,41468,41708,41708,42388,42922,43415,43639,43678,43688,43688,43739,43865,44060
Cerrillos,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,590,963,1504,1681,1681,2475,3633,4984,5971,6721,6766,6766,7724,8651,9540,10364,10862,10886,10886,11268,11561,11790,11934,12066,12080,12080,12431,13117,13845,14542,14544,14544,14544,15330,15886,16310,16989,17533,17754,17754,18331,19170,19811,20561,21110,21278,21278,21863,22543,23287,24118,24762,24841,24842,25521,26090,26615,27150,27306,27306,27306,27517,27866,28238,28552,28803,28832,28832,29182,29655,30014,30311,30590,30590,30590,30835,31006,31111,31318,31322,31362,31362,31588,31794,31936,32038,32171,32202,32209,32291,32536,32758,32966,33190,33306,33309,33728,34111,34423
Cerro Navia,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,1300,1973,2133,2133,3265,4387,5826,7056,8263,8471,8471,10113,11385,12448,13115,13798,13955,13955,14500,14801,15022,15281,15491,15550,15550,16385,16794,17657,18505,19278,19439,19439,19806,20609,21236,22143,22804,23457,23457,24138,24805,25434,26144,26905,27649,27649,28470,29245,29958,30727,31549,32036,32036,32615,33409,34045,34709,34896,35134,35134,35500,35862,36341,36739,37173,37500,37500,38060,38633,39162,39673,40073,40436,40436,40777,41093,41361,41693,41952,42173,42173,42500,42816,43084,43266,43454,43585,43585,44030,44480,44801,45193,45610,45919,45919,46403,46829,47281,47707,48150,48150,48150,48793,49470,50010,50618,50760,51316,51316,52407,53666,54827,55928,57119,57968,57968,58888,59788,60655,61192,61343,61759,61759,62118,62562,62913
Cerro Navia,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,602,1212,1855,2004,2004,2975,4108,5476,6694,7800,8005,8006,9653,10910,11993,12669,13292,13461,13461,14012,14341,14596,14839,15055,15113,15113,15738,16284,17107,18042,18086,18128,18128,19075,19783,20495,21386,21940,22481,22481,23289,23872,24386,25207,25952,26621,26622,27377,28169,28659,29388,30055,30525,30525,31246,32089,32774,33224,33328,33408,33408,33973,34425,34926,35294,35720,35902,35902,36302,36978,37486,37920,38282,38282,38282,38719,39110,39480,39885,39942,40226,40228,40649,41134,41452,41743,41884,42055,42059,42418,42833,43110,43463,43748,44009,44010,44509,44946,45312
Chaitén,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,79,130,130,130,186,329,364,483,585,585,585,715,819,924,975,988,988,988,1036,1064,1109,1111,1116,1116,1116,1142,1161,1175,1214,1224,1224,1224,1251,1314,1364,1468,1550,1550,1550,1569,1597,1615,1634,1663,1663,1663,1706,1740,1770,1781,1805,1805,1805,1816,1833,1879,1891,1891,1891,1891,1915,1928,1937,1945,1952,1952,1952,1961,1974,1977,1995,2001,2001,2001,2015,2017,2021,2025,2037,2037,2037,2045,2049,2064,2076,2088,2088,2088,2099,2107,2116,2123,2132,2132,2132,2147,2164,2174,2190,2205,2205,2205,2214,2230,2243,2266,2266,2266,2266,2298,2334,2381,2415,2480,2480,2480,2511,2518,2524,2525,2526,2526,2526,2531,2538,2545
Chaitén,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,74,124,125,126,179,311,364,465,557,559,559,693,799,905,955,971,971,971,1023,1061,1092,1094,1099,1099,1099,1114,1133,1179,1191,1191,1191,1191,1228,1262,1324,1362,1391,1391,1391,1413,1447,1460,1527,1600,1601,1601,1633,1659,1684,1704,1752,1752,1752,1772,1782,1834,1848,1850,1850,1850,1865,1878,1887,1894,1903,1903,1903,1913,1925,1932,1937,1945,1945,1945,1963,1965,1971,1975,1975,1975,1975,1980,1986,2007,2021,2033,2033,2033,2045,2057,2064,2071,2076,2076,2076,2093,2103,2115
Chañaral,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,261,495,557,557,557,807,972,1091,1180,1324,1324,1324,1407,1496,1656,1783,1832,1832,1832,1922,2135,2274,2394,2422,2422,2422,2580,2649,2684,2720,2767,2767,2767,2855,2947,3055,3160,3251,3251,3251,3330,3420,3467,3598,3658,3658,3658,3768,3841,3952,4055,4145,4145,4145,4239,4299,4358,4435,4435,4435,4435,4495,4524,4564,4600,4634,4634,4634,4644,4714,4788,4828,4844,4844,4844,4879,4955,4976,5024,5089,5089,5089,5089,5171,5215,5252,5273,5273,5273,5361,5434,5504,5577,5588,5588,5588,5680,5755,5833,5906,5945,5945,5945,6021,6106,6189,6319,6319,6319,6319,6477,6605,6769,6898,6956,6956,6956,7057,7247,7353,7367,7370,7370,7370,7388,7464,7521
Chañaral,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,84,241,458,516,516,516,761,927,1042,1132,1263,1263,1263,1359,1446,1555,1698,1751,1751,1751,1848,2034,2168,2288,2338,2339,2339,2352,2389,2441,2618,2618,2618,2618,2744,2820,2909,3002,3026,3026,3026,3116,3222,3303,3401,3461,3463,3463,3576,3657,3735,3841,3873,3874,3874,3957,4064,4095,4183,4208,4208,4208,4279,4324,4382,4413,4415,4415,4415,4422,4521,4586,4630,4650,4650,4650,4679,4743,4786,4833,4833,4833,4833,4857,4965,5008,5072,5103,5103,5103,5166,5250,5319,5380,5390,5390,5390,5480,5561,5637
Chanco,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,168,237,237,237,365,497,672,766,848,848,848,983,1100,1198,1271,1337,1337,1337,1469,1581,1672,1762,1828,1828,1828,1897,1975,2056,2150,2243,2243,2243,2312,2389,2446,2554,2645,2645,2645,2773,2894,2991,3046,3089,3089,3089,3163,3210,3275,3330,3384,3384,3384,3478,3506,3584,3657,3657,3657,3657,3711,3743,3770,3828,3869,3869,3869,3873,3888,3903,3933,3973,3973,3973,3994,4014,4040,4068,4112,4112,4112,4119,4139,4155,4170,4190,4190,4190,4233,4267,4311,4366,4431,4431,4431,4451,4470,4499,4531,4653,4653,4653,4667,4681,4730,4782,4782,4782,4782,4894,5011,5097,5187,5256,5256,5256,5303,5303.0,5303..0,5303...0,5303....0,5303....0,5303....0,5303....370,5303....37550,5303....3755520
Chanco,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,163,217,217,217,341,468,615,728,808,810,810,946,1075,1192,1241,1301,1302,1302,1425,1539,1619,1717,1777,1777,1777,1852,1922,1983,2094,2094,2094,2094,2229,2325,2381,2486,2567,2567,2567,2692,2766,2792,2925,2991,2991,2991,3080,3130,3192,3247,3297,3297,3297,3388,3422,3499,3564,3579,3579,3579,3627,3660,3686,3719,3795,3795,3795,3800,3823,3841,3869,3910,3910,3910,3919,3929,3956,3997,3997,3997,3997,4021,4076,4092,4112,4123,4124,4124,4155,4184,4224,4290,4352,4352,4352,4374,4394,4417
Chépica,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,529,952,1223,1223,1223,1408,1437,1571,1661,1703,1703,1703,1905,2054,2195,2300,2394,2394,2394,2486,2571,2647,2723,2754,2754,2754,2913,3073,3250,3415,3600,3600,3600,3725,3865,4005,4168,4343,4343,4343,4523,4648,4745,4854,4966,4966,4966,5060,5125,5245,5348,5483,5483,5483,5611,5754,5870,5999,5999,5999,5999,6001,6099,6147,6147,6147,6147,6147,6199,6299,6409,6464,6515,6515,6515,6558,6601,6645,6714,6767,6767,6767,6808,6847,6878,6898,6937,6937,6937,7060,7170,7281,7385,7512,7512,7512,7636,7766,7885,7989,8125,8125,8125,8282,8413,8580,8735,8735,8735,8735,8944,9121,9276,9409,9581,9581,9581,9707,9851,9951,10001,10050,10050,10050,10081,10108,10193
Chépica,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,126,126,523,923,1195,1195,1195,1381,1433,1541,1646,1682,1682,1682,1890,2036,2173,2282,2371,2371,2371,2471,2559,2631,2700,2725,2725,2725,2878,3032,3206,3506,3506,3506,3506,3676,3815,3898,4082,4268,4268,4268,4440,4574,4668,4760,4877,4877,4877,4969,5042,5164,5254,5379,5379,5379,5504,5646,5774,5898,5924,5924,5924,5932,6013,6063,6084,6088,6088,6088,6129,6224,6330,6381,6448,6448,6448,6488,6531,6577,6638,6638,6638,6638,6718,6762,6776,6810,6854,6854,6854,6965,7067,7174,7275,7383,7384,7384,7506,7630,7760
Chiguayante,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,991,1989,2919,3622,4071,5240,6635,8138,9411,10218,10416,10508,11121,11617,12079,12530,13000,13136,13223,13561,13946,14295,14691,14967,14980,14986,15518,16222,16847,17385,17947,17994,18026,18533,19231,19801,20663,21311,21558,21647,22260,22868,23387,24083,24665,24918,25059,25600,26079,26659,27195,27807,27807,27807,28517,29016,29538,30236,30236,30236,30236,30523,30846,31229,31468,31709,31779,31834,32133,32415,32675,32789,32881,32881,32881,33051,33147,33251,33488,33627,33680,33710,33844,33930,34067,34135,34347,34347,34459,34707,35017,35281,35549,35802,35928,35974,36333,36632,36913,37153,37387,37387,37387,37723,38101,38396,38719,38719,39046,39150,39558,40154,40693,41168,41519,41980,42345,42820,43376,43848,44139,44423,44423,44423,44693,44853,45154
Chiguayante,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,940,1877,2776,3408,3860,4932,6369,7813,8984,9801,10017,10106,10833,11534,12197,12895,13349,13478,13580,14051,14583,14874,15038,15173,15174,15174,15539,15961,16480,17076,17077,17077,17077,17963,18656,19205,20002,20557,20745,20801,21449,22107,22662,23268,23882,24087,24210,24803,25289,25834,26368,26878,26974,27018,27627,28209,28652,29274,29453,29453,29517,29849,30171,30513,30757,30904,30983,31036,31357,31621,31871,31991,32120,32120,32120,32275,32399,32535,32721,32721,32775,32791,33020,33246,33397,33521,33703,33731,33777,34013,34255,34502,34707,34894,34906,34910,35306,35584,35869
Chile Chico,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,136,248,353,353,353,484,636,765,839,894,894,894,937,990,1059,1096,1129,1129,1129,1168,1239,1274,1309,1325,1325,1325,1360,1384,1396,1404,1418,1418,1418,1447,1493,1511,1547,1582,1582,1582,1613,1641,1702,1720,1730,1730,1730,1771,1804,1842,1879,1898,1898,1898,1927,1946,1961,1974,1974,1974,1974,2007,2038,2055,2074,2089,2089,2089,2110,2127,2144,2162,2173,2173,2173,2203,2215,2244,2273,2297,2297,2297,2298,2313,2321,2328,2329,2329,2329,2356,2378,2395,2408,2423,2423,2423,2436,2451,2467,2484,2500,2500,2500,2523,2555,2583,2619,2619,2619,2619,2668,2733,2787,2845,2877,2877,2877,2952,3019,3024,3041,3045,3045,3045,3053,3062,3068
Chile Chico,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,127,230,335,335,335,458,616,736,816,869,869,869,913,960,1023,1065,1099,1099,1099,1148,1209,1249,1279,1295,1295,1295,1330,1356,1367,1377,1377,1377,1377,1402,1452,1471,1508,1535,1535,1535,1564,1591,1645,1664,1676,1676,1676,1707,1738,1779,1814,1828,1828,1829,1835,1872,1895,1913,1915,1915,1915,1936,1968,1991,2011,2026,2026,2026,2043,2067,2088,2097,2110,2110,2113,2135,2157,2184,2201,2201,2202,2202,2230,2248,2264,2275,2280,2280,2280,2303,2327,2349,2364,2387,2387,2387,2405,2411,2432
Chillán,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084,3167,4644,4644,4644,4644,4644,4644,4644,4644,4644,4644,4644,4644,4644,4644,6888,9366,11730,11747,11747,14918,18583,22604,27274,31013,31098,31166,33896,36180,38290,39803,40984,40999,40999,42361,43665,44768,45897,46885,46885,46885,47879,49220,50484,51523,52240,52289,52289,54044,55973,57808,59987,61788,61897,61970,64349,66743,68716,70259,71616,71773,71890,73362,74828,76373,77939,79523,79548,79548,80998,82122,83350,85336,85337,85337,85337,86424,87585,88736,89723,90749,90932,90932,91697,92247,92652,92938,93220,93247,93247,93529,93901,94053,94513,94805,94829,94829,95247,95571,95931,96194,96461,96461,96461,97075,97705,98358,98908,99518,99622,99641,100382,101146,101983,102689,103522,103559,103581,104269,105513,106925,108513,108581,108785,108949,110607,112072,113559,114987,116134,116394,116520,118123,119427,120483,121399,122137,122297,122371,123150,123886,124686
Chillán,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461,3445,4553,4589,4593,4593,4593,4593,4593,4593,4593,4593,4593,4593,4595,4598,4607,4611,4614,4614,4614,4616,4642,6885,9229,11370,11381,11382,14583,17983,21947,26430,30068,30194,30243,33272,36073,38649,40742,42138,42144,42150,43855,44861,45562,46120,46633,46637,46637,47365,48506,49673,50732,50732,50732,50732,52930,54936,56750,58781,60532,60573,60573,62892,65195,67124,68600,70106,70188,70188,71854,73302,74750,76235,77728,77780,77781,79326,80594,81764,83472,83819,83819,83819,84784,85861,86947,87896,88784,88843,88852,89737,90471,90972,91307,91639,91645,91647,91936,92197,92430,93084,93094,93128,93132,93658,94095,94561,94906,95179,95185,95187,95691,96238,96790,97299,97754,97827,97846,98522,99158,99844
Chillán Viejo,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,191,436,677,677,677,976,1317,1708,2212,2616,2673,2673,3079,3341,3625,3860,4043,4043,4043,4275,4479,4654,4819,4918,4918,4918,5117,5342,5576,5723,5851,5851,5851,6151,6450,6735,7072,7362,7371,7371,7781,8168,8486,8740,8967,8967,8967,9321,9636,9893,10122,10357,10357,10357,10653,10853,10988,11219,11219,11219,11219,11482,11709,11875,12015,12129,12129,12129,12293,12397,12475,12538,12607,12607,12607,12683,12761,12802,12882,12934,12934,12934,13028,13101,13181,13237,13291,13291,13291,13420,13536,13736,13849,13946,13946,13946,14123,14269,14389,14508,14631,14631,14631,14860,15111,15489,15858,15858,15858,15858,16208,16567,16879,17115,17341,17341,17341,17659,17956,18193,18372,18500,18542,18542,18696,18827,18998
Chillán Viejo,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,185,394,618,618,618,924,1244,1631,2133,2529,2559,2559,2975,3253,3542,3778,3955,3956,3956,4179,4431,4602,4727,4825,4825,4825,5011,5211,5432,5612,5612,5612,5612,5958,6248,6543,6893,7159,7159,7159,7554,7929,8219,8485,8722,8724,8724,9016,9382,9623,9853,10082,10082,10082,10399,10613,10757,10963,11001,11001,11001,11234,11431,11602,11744,11862,11864,11864,12040,12156,12237,12304,12374,12374,12374,12456,12533,12578,12668,12669,12671,12672,12784,12867,12962,13035,13089,13092,13092,13195,13287,13402,13501,13581,13586,13587,13742,13895,14013
Chimbarongo,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,184,239,239,239,239,239,239,239,239,239,239,239,239,239,255,389,609,831,831,831,1053,1280,1808,2249,2499,2532,2532,2948,3362,3641,3866,4071,4071,4071,4282,4508,4753,4985,5073,5107,5107,5557,6067,6504,6908,7251,7262,7262,7519,7827,8114,8555,8892,8892,8892,9205,9526,9772,10050,10264,10264,10264,10446,10640,10845,11126,11488,11490,11490,11747,12108,12408,12798,12798,12798,12798,12938,13161,13357,13481,13580,13580,13580,13580,13794,13998,14122,14177,14177,14177,14214,14322,14411,14541,14637,14639,14639,14713,14826,14826,14856,14926,14926,14926,15060,15344,15643,15840,16087,16087,16087,16365,16651,16959,17156,17393,17393,17393,17676,17966,18289,18986,18997,18997,18997,19320,19716,20167,20468,20723,20917,20917,21189,21533,21637,21638,21638.0,21638.0,21638.0,21638.670,21638.671330,21638.671332710
Chimbarongo,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,212,229,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,250,381,594,830,830,830,1060,1279,1777,2198,2439,2472,2472,2909,3295,3591,3802,3994,3995,3995,4218,4437,4680,4888,4979,5010,5010,5444,5945,6615,7051,7051,7051,7051,7335,7657,7936,8365,8692,8692,8692,8998,9308,9563,9845,10052,10052,10052,10238,10430,10628,10911,11245,11247,11247,11489,11830,12074,12468,12548,12548,12548,12682,12888,13100,13239,13343,13343,13343,13360,13577,13775,13904,13968,13968,13968,13998,14109,14216,14410,14410,14412,14412,14492,14618,14638,14666,14733,14738,14738,14831,15101,15369,15564,15784,15784,15784,16061,16341,16650
Cholchol,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,185,257,257,257,378,511,652,788,932,1002,1002,1212,1312,1464,1505,1535,1541,1541,1652,1725,1803,1848,1887,1891,1891,1978,2078,2139,2186,2248,2249,2249,2304,2354,2420,2485,2548,2573,2573,2675,2729,2792,2848,2908,2917,2917,2995,3048,3126,3180,3296,3296,3296,3378,3407,3461,3528,3528,3528,3528,3577,3613,3639,3664,3715,3723,3723,3765,3791,3819,3840,3881,3888,3888,3935,3964,3980,3992,4017,4025,4025,4065,4087,4102,4125,4148,4148,4148,4180,4213,4238,4263,4305,4314,4314,4356,4408,4451,4483,4546,4546,4546,4596,4632,4694,4755,4755,4790,4790,4903,5007,5145,5240,5373,5373,5373,5496,5610,5661,5667,5679,5682,5682,5706,5712,5722
Cholchol,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,172,244,244,244,370,489,630,761,896,959,959,1173,1257,1431,1478,1506,1512,1512,1618,1685,1758,1809,1854,1854,1854,1934,2021,2097,2136,2136,2136,2136,2237,2294,2359,2433,2500,2514,2514,2593,2650,2709,2761,2821,2838,2838,2907,2963,3023,3071,3168,3185,3185,3276,3309,3365,3422,3437,3437,3437,3482,3509,3545,3577,3609,3620,3620,3661,3683,3715,3740,3781,3781,3781,3829,3855,3884,3909,3909,3916,3916,3962,3994,4010,4036,4067,4067,4067,4095,4130,4155,4183,4221,4229,4229,4276,4315,4355
Chonchi,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,143,179,179,179,439,627,798,1000,1201,1201,1201,1484,1812,1968,2144,2216,2216,2216,2279,2318,2415,2442,2473,2473,2473,2502,2570,2775,2820,2858,2858,2858,3038,3185,3297,3421,3576,3576,3576,3711,3958,4065,4235,4367,4367,4367,4429,4535,4627,4716,4817,4817,4817,4895,4961,5081,5198,5198,5198,5198,5276,5276,5325,5328,5375,5375,5375,5436,5489,5531,5601,5668,5668,5668,5671,5672,5673,5689,5715,5715,5715,5799,5879,5953,6008,6053,6053,6053,6103,6171,6249,6315,6378,6378,6378,6435,6557,6632,6743,6811,6811,6811,6893,7012,7145,7306,7306,7306,7306,7376,7474,7615,7722,7743,7743,7743,7744,7948,8104,8140,8255,8255,8255,8360,8488,8567
Chonchi,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,133,170,170,170,426,604,768,961,1175,1176,1176,1442,1758,1966,2104,2214,2214,2214,2289,2341,2391,2418,2446,2446,2446,2491,2541,2736,2814,2814,2814,2814,3031,3080,3188,3267,3445,3445,3445,3588,3806,3938,4157,4274,4274,4274,4352,4458,4544,4628,4716,4716,4716,4805,4853,4946,5058,5105,5105,5105,5183,5193,5250,5263,5305,5305,5305,5349,5393,5442,5514,5555,5555,5555,5570,5591,5599,5641,5641,5641,5641,5716,5808,5882,5942,5991,5991,5991,6027,6083,6158,6222,6278,6278,6278,6338,6457,6521
Cisnes,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,130,130,130,130,130,130,130,130,130,130,130,211,323,404,405,405,618,830,900,1004,1064,1076,1084,1162,1238,1329,1373,1472,1472,1472,1501,1518,1528,1546,1560,1560,1560,1615,1686,1725,1748,1779,1779,1779,1807,1896,1919,1999,2037,2037,2037,2099,2158,2203,2240,2264,2264,2264,2297,2338,2369,2398,2428,2428,2428,2471,2524,2549,2568,2568,2568,2569,2628,2663,2687,2706,2727,2727,2727,2790,2812,2838,2861,2871,2871,2871,2891,2914,2940,2960,2985,2985,2985,3002,3012,3039,3071,3089,3089,3089,3114,3145,3172,3182,3201,3201,3201,3228,3255,3275,3308,3339,3339,3339,3361,3382,3415,3451,3451,3451,3451,3514,3601,3682,3757,3846,3846,3846,3932,3977,3981,3988,3998,3998,3998,3999,3999.0,3999.10
